Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 01:35:38,28.3,58.0,10.01,40.76
2025-06-09 01:35:40,28.3,58.0,22.36,40.29
2025-06-09 01:35:42,28.3,58.0,10.12,40.29
2025-06-09 01:35:44,28.3,58.1,10.12,40.63
2025-06-09 01:35:46,28.3,58.2,10.01,39.8
2025-06-09 01:35:48,28.3,58.2,10.01,40.09
2025-06-09 01:35:50,28.3,58.3,10.0,38.39
2025-06-09 01:35:52,28.3,58.5,10.01,38.48
2025-06-09 01:35:54,28.3,58.5,22.36,39.87
2025-06-09 01:35:56,28.3,58.6,22.36,39.66
2025-06-09 01:35:58,28.3,58.7,22.25,39.36
2025-06-09 01:36:00,28.3,58.5,22.36,38.48
2025-06-09 01:36:02,28.3,58.3,22.36,37.59
2025-06-09 01:36:04,28.3,58.2,22.25,37.77
2025-06-09 01:36:06,28.3,58.1,22.36,36.6
2025-06-09 01:36:08,28.3,58.1,22.25,35.6
2025-06-09 01:36:10,28.3,58.1,22.36,42.73
2025-06-09 01:36:12,28.3,58.0,22.36,42.25
2025-06-09 01:36:14,28.3,58.1,22.36,39.2
2025-06-09 01:36:17,28.3,58.2,22.36,40.23
2025-06-09 01:36:19,28.3,58.1,22.25,41.91
2025-06-09 01:36:21,28.3,58.0,22.36,39.87
2025-06-09 01:36:23,28.3,58.0,22.36,41.8
2025-06-09 01:36:25,28.3,58.0,22.37,40.23
2025-06-09 01:36:27,28.3,58.0,22.36,40.76
2025-06-09 01:36:29,28.3,58.5,22.36,39.58
2025-06-09 01:36:31,28.3,59.1,22.36,37.77
2025-06-09 01:36:33,28.3,58.8,22.37,39.66
2025-06-09 01:36:35,28.3,58.5,22.25,35.49
2025-06-09 01:36:37,28.3,58.5,22.36,36.17
2025-06-09 01:36:39,28.3,58.5,22.36,40.83
2025-06-09 01:36:41,28.3,58.4,22.36,41.97
2025-06-09 01:36:43,28.3,58.3,22.36,42.57
2025-06-09 01:36:45,28.3,58.2,22.37,42.25
2025-06-09 01:36:47,28.3,58.2,22.36,36.91
2025-06-09 01:36:50,28.3,58.2,22.36,36.17
2025-06-09 01:36:52,28.3,58.1,22.36,39.36
2025-06-09 01:36:54,28.3,58.0,22.36,40.7
2025-06-09 01:36:56,28.3,58.0,22.25,40.89
2025-06-09 01:36:58,28.3,58.0,22.36,42.93
2025-06-09 01:37:00,28.3,58.0,22.25,40.83
2025-06-09 01:37:02,28.3,58.1,22.36,40.09
2025-06-09 01:37:04,28.3,58.1,22.36,39.58
2025-06-09 01:37:06,28.3,58.3,22.25,39.13
2025-06-09 01:37:08,28.3,58.2,22.34,40.63
2025-06-09 01:37:10,28.3,58.1,22.25,41.91
2025-06-09 01:37:12,28.3,58.0,22.36,41.68
2025-06-09 01:37:14,28.3,58.0,22.37,41.74
2025-06-09 01:37:16,28.3,58.0,22.36,41.51
2025-06-09 01:37:18,28.3,58.0,22.36,42.08
2025-06-09 01:37:20,28.3,58.0,22.25,41.14
2025-06-09 01:37:22,28.3,58.1,22.36,37.11
