Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 01:26:40,28.3,58.0,9.33,39.58
2025-06-09 01:26:42,28.3,58.0,9.33,40.95
2025-06-09 01:26:44,28.3,58.0,9.44,41.14
2025-06-09 01:26:46,28.3,58.0,9.33,41.45
2025-06-09 01:26:48,28.3,58.0,9.33,40.63
2025-06-09 01:26:50,28.4,58.0,9.44,41.02
2025-06-09 01:26:52,28.4,58.0,9.44,42.62
2025-06-09 01:26:54,28.3,58.0,9.44,36.6
2025-06-09 01:26:56,28.3,58.0,9.33,38.22
2025-06-09 01:26:58,28.3,58.0,9.44,37.21
2025-06-09 01:27:00,28.4,58.0,9.44,35.95
2025-06-09 01:27:02,28.3,58.0,9.33,35.6
2025-06-09 01:27:04,28.3,58.0,9.33,40.83
2025-06-09 01:27:06,28.3,58.0,9.44,40.89
2025-06-09 01:27:08,28.3,58.0,9.44,39.73
2025-06-09 01:27:10,28.3,58.0,9.33,37.11
2025-06-09 01:27:12,28.3,58.0,9.33,38.64
2025-06-09 01:27:14,28.3,58.0,9.44,38.39
2025-06-09 01:27:16,28.3,58.2,9.44,40.5
2025-06-09 01:27:18,28.3,59.0,9.44,39.87
2025-06-09 01:27:20,28.3,59.0,9.33,41.2
