Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 10:10:59,25.5,65.1,86.56,40.02
2025-06-09 10:11:01,25.5,65.0,-1.0,40.09
2025-06-09 10:11:03,25.5,64.7,-1.0,39.2
2025-06-09 10:11:05,25.5,64.5,-1.0,37.77
2025-06-09 10:11:07,25.5,64.5,28.59,39.36
2025-06-09 10:11:09,25.5,64.6,-1.0,37.77
2025-06-09 10:11:11,25.5,64.8,29.22,40.5
2025-06-09 10:11:13,25.5,65.0,28.95,40.95
2025-06-09 10:11:15,25.5,65.3,-1.0,38.22
2025-06-09 10:11:17,25.5,64.8,29.89,36.91
2025-06-09 10:11:19,25.5,64.3,-1.0,39.87
2025-06-09 10:11:21,25.5,64.2,-1.0,42.83
2025-06-09 10:11:23,25.5,64.4,-1.0,35.12
2025-06-09 10:11:26,25.5,64.7,29.38,45.07
2025-06-09 10:11:28,25.5,64.8,-1.0,30.26
2025-06-09 10:11:30,25.5,64.9,-1.0,32.87
2025-06-09 10:11:32,25.5,65.0,30.41,36.06
2025-06-09 10:11:34,25.5,65.0,29.38,36.91
2025-06-09 10:11:36,25.5,65.1,-1.0,35.12
2025-06-09 10:11:38,25.5,65.2,28.85,41.91
2025-06-09 10:11:40,25.5,65.2,28.59,35.95
2025-06-09 10:11:42,25.5,65.0,29.48,38.04
2025-06-09 10:11:44,25.5,65.4,29.48,41.2
2025-06-09 10:11:46,25.5,65.7,31.69,38.72
2025-06-09 10:11:48,25.5,65.5,-1.0,41.08
2025-06-09 10:11:50,25.5,65.4,-1.0,35.6
2025-06-09 10:11:52,25.5,65.5,-1.0,37.59
2025-06-09 10:11:54,25.5,65.7,28.31,36.6
2025-06-09 10:11:56,25.5,65.9,-1.0,39.66
2025-06-09 10:11:58,25.5,65.9,21.47,41.57
2025-06-09 10:12:00,25.5,65.7,44.42,44.62
2025-06-09 10:12:02,25.5,65.6,44.44,41.45
2025-06-09 10:12:04,25.5,65.3,44.42,40.02
2025-06-09 10:12:06,25.5,65.1,44.83,40.56
2025-06-09 10:12:08,25.5,65.0,44.42,41.45
2025-06-09 10:12:10,25.5,65.0,44.42,42.08
2025-06-09 10:12:12,25.5,64.9,44.42,40.89
2025-06-09 10:12:14,25.5,64.8,44.44,41.39
2025-06-09 10:12:16,25.5,64.7,44.42,41.91
2025-06-09 10:12:18,25.5,64.6,44.42,41.39
2025-06-09 10:12:20,25.5,64.5,44.42,40.95
2025-06-09 10:12:23,25.5,64.3,44.4,41.08
2025-06-09 10:12:25,25.5,64.2,44.42,41.91
2025-06-09 10:12:27,25.5,64.3,44.44,41.97
2025-06-09 10:12:29,25.5,64.4,46.19,42.78
2025-06-09 10:12:31,25.5,64.2,44.54,40.23
2025-06-09 10:12:33,25.5,64.2,44.52,42.52
2025-06-09 10:12:35,25.5,64.1,44.52,40.36
2025-06-09 10:12:37,25.5,64.3,44.42,40.89
2025-06-09 10:12:39,25.5,64.3,44.42,41.08
2025-06-09 10:12:41,25.5,64.5,44.42,42.3
2025-06-09 10:12:43,25.5,64.5,44.44,40.56
2025-06-09 10:12:45,25.5,64.3,44.42,39.73
2025-06-09 10:12:47,25.5,64.4,44.42,41.74
2025-06-09 10:12:49,25.5,64.4,44.42,42.14
2025-06-09 10:12:51,25.5,64.5,44.42,42.3
2025-06-09 10:12:53,25.5,64.5,44.54,41.51
2025-06-09 10:12:55,25.5,64.4,44.54,40.5
2025-06-09 10:12:57,25.5,64.4,44.52,42.98
2025-06-09 10:12:59,25.5,64.5,44.54,39.73
2025-06-09 10:13:01,25.5,64.5,44.52,39.87
2025-06-09 10:13:03,25.5,64.5,44.54,41.02
2025-06-09 10:13:05,25.5,64.6,44.52,42.25
2025-06-09 10:13:07,25.4,64.6,44.52,41.2
2025-06-09 10:13:09,25.5,64.6,44.52,37.01
2025-06-09 10:13:11,25.5,64.7,44.52,38.97
2025-06-09 10:13:13,25.5,64.7,44.51,41.26
2025-06-09 10:13:15,25.4,64.7,44.52,41.14
2025-06-09 10:13:17,25.5,64.8,44.52,42.03
2025-06-09 10:13:19,25.4,64.8,44.52,40.56
2025-06-09 10:13:21,25.4,64.8,44.42,40.7
2025-06-09 10:13:23,25.4,64.8,44.42,41.62
2025-06-09 10:13:25,25.4,64.7,44.42,41.45
2025-06-09 10:13:27,25.4,64.7,44.42,38.22
2025-06-09 10:13:29,25.4,64.7,44.42,41.08
2025-06-09 10:13:31,25.4,64.7,44.42,41.62
2025-06-09 10:13:33,25.4,64.7,44.42,41.02
2025-06-09 10:13:35,25.4,64.7,44.42,41.45
2025-06-09 10:13:37,25.4,64.7,44.4,39.28
2025-06-09 10:13:39,25.4,64.6,44.54,40.5
2025-06-09 10:13:41,25.4,64.6,44.52,41.8
2025-06-09 10:13:43,25.4,64.6,44.91,42.78
2025-06-09 10:13:47,25.4,64.6,15.86,41.74
2025-06-09 10:13:49,25.4,64.7,6.8,40.76
2025-06-09 10:13:51,25.4,64.8,7.67,40.95
2025-06-09 10:13:53,25.4,65.0,5.83,39.36
2025-06-09 10:13:55,25.4,65.1,7.45,38.97
2025-06-09 10:13:57,25.4,65.1,-1.0,40.76
2025-06-09 10:13:59,25.4,65.1,-1.0,40.43
2025-06-09 10:14:01,25.4,65.3,-1.0,40.83
2025-06-09 10:14:03,25.4,65.6,-1.0,42.36
2025-06-09 10:14:05,25.4,66.0,-1.0,40.63
2025-06-09 10:14:07,25.4,66.3,-1.0,39.2
2025-06-09 10:14:09,25.4,66.3,-1.0,36.06
2025-06-09 10:14:11,25.4,66.1,9.11,39.05
2025-06-09 10:14:13,25.4,66.0,8.42,39.95
2025-06-09 10:14:15,25.4,65.9,5.75,38.72
2025-06-09 10:14:17,25.4,66.1,4.56,41.14
2025-06-09 10:14:19,25.4,66.5,-1.0,38.56
2025-06-09 10:14:21,25.4,67.0,8.09,41.74
2025-06-09 10:14:23,25.5,67.3,6.49,41.97
2025-06-09 10:14:25,25.5,67.3,5.42,40.36
2025-06-09 10:14:27,25.5,67.7,6.07,40.16
2025-06-09 10:14:29,25.5,67.6,4.88,40.83
2025-06-09 10:14:31,25.5,67.1,4.56,40.16
2025-06-09 10:14:33,25.5,66.7,4.45,40.7
2025-06-09 10:14:35,25.5,67.0,9.67,38.97
2025-06-09 10:14:37,25.5,67.2,-1.0,38.72
2025-06-09 10:14:39,25.5,67.1,6.15,40.56
2025-06-09 10:14:41,25.5,67.0,8.77,44.2
2025-06-09 10:14:43,25.5,66.8,8.77,37.95
2025-06-09 10:14:45,25.6,66.6,5.73,37.11
2025-06-09 10:14:47,25.5,66.5,8.67,38.72
2025-06-09 10:14:49,25.6,66.7,5.83,41.91
2025-06-09 10:14:51,25.6,66.5,5.41,38.13
2025-06-09 10:14:53,25.6,66.4,-1.0,30.0
2025-06-09 10:14:55,25.6,66.3,10.12,38.81
2025-06-09 10:14:57,25.6,66.4,10.01,36.7
2025-06-09 10:14:59,25.6,66.5,7.99,41.14
2025-06-09 10:15:01,25.6,66.5,6.48,36.6
2025-06-09 10:15:03,25.6,66.2,4.78,38.64
2025-06-09 10:15:06,25.6,65.9,7.77,38.89
2025-06-09 10:15:08,25.6,65.6,5.53,38.39
2025-06-09 10:15:10,25.6,65.7,-1.0,38.97
2025-06-09 10:15:12,25.6,66.0,-1.0,38.22
2025-06-09 10:15:14,25.6,65.9,6.8,41.33
2025-06-09 10:15:16,25.6,66.0,-1.0,36.17
2025-06-09 10:15:18,25.6,66.1,-1.0,38.72
2025-06-09 10:15:20,25.6,66.1,9.33,39.36
2025-06-09 10:15:22,25.6,66.1,9.1,38.97
2025-06-09 10:15:24,25.7,65.9,8.99,41.97
2025-06-09 10:15:26,25.6,65.9,6.05,40.83
2025-06-09 10:15:28,25.7,65.8,9.11,42.03
2025-06-09 10:15:30,25.7,65.8,6.7,40.76
2025-06-09 10:15:32,25.7,65.7,5.85,40.7
2025-06-09 10:15:34,25.7,65.7,9.35,39.43
2025-06-09 10:15:36,25.7,65.8,6.15,39.13
2025-06-09 10:15:38,25.7,65.7,-1.0,35.0
2025-06-09 10:15:40,25.7,65.6,5.85,40.5
2025-06-09 10:15:42,25.8,65.9,5.85,38.97
2025-06-09 10:15:44,25.7,65.9,6.8,42.73
2025-06-09 10:15:46,25.8,65.8,8.99,41.45
2025-06-09 10:15:48,25.8,65.5,-1.0,38.72
2025-06-09 10:15:50,25.8,65.3,9.67,42.25
2025-06-09 10:15:52,25.8,65.0,9.67,40.7
2025-06-09 10:15:54,25.8,65.0,6.8,41.91
2025-06-09 10:15:56,25.8,65.1,8.67,41.91
2025-06-09 10:15:58,25.8,65.4,-1.0,39.95
2025-06-09 10:16:00,25.8,65.4,-1.0,39.66
2025-06-09 10:16:02,25.8,65.3,9.33,40.83
2025-06-09 10:16:05,25.8,65.1,4.88,40.95
2025-06-09 10:16:07,25.8,65.0,5.51,38.97
2025-06-09 10:16:09,25.8,64.8,5.2,40.36
2025-06-09 10:16:11,25.8,64.7,9.1,39.66
2025-06-09 10:16:13,25.8,64.6,4.45,41.62
2025-06-09 10:16:15,25.8,64.7,5.53,38.31
2025-06-09 10:16:17,25.8,65.1,4.45,38.39
2025-06-09 10:16:19,25.8,65.4,5.83,41.2
2025-06-09 10:16:21,25.8,65.5,5.73,39.95
2025-06-09 10:16:23,25.8,65.3,6.48,39.05
2025-06-09 10:16:25,25.8,65.1,4.88,40.23
2025-06-09 10:16:27,25.8,65.5,5.41,39.05
2025-06-09 10:16:29,25.8,65.8,5.51,39.2
2025-06-09 10:16:31,25.8,65.8,6.39,41.33
2025-06-09 10:16:33,25.8,65.7,9.78,41.45
2025-06-09 10:16:35,25.8,65.5,9.44,41.74
2025-06-09 10:16:37,25.9,65.4,7.67,40.36
2025-06-09 10:16:40,25.9,65.3,6.17,38.64
2025-06-09 10:16:42,25.9,65.1,4.88,40.76
2025-06-09 10:16:44,25.9,65.0,4.88,38.39
2025-06-09 10:16:46,25.9,65.1,4.78,41.91
2025-06-09 10:16:48,25.9,65.2,5.85,39.95
2025-06-09 10:16:50,25.9,65.3,4.45,42.03
2025-06-09 10:16:52,25.9,65.4,5.85,41.08
2025-06-09 10:16:54,25.9,65.4,4.45,39.87
2025-06-09 10:16:56,25.9,65.2,5.85,39.8
2025-06-09 10:16:58,26.0,65.0,9.01,37.3
2025-06-09 10:17:00,26.0,65.0,6.17,39.51
2025-06-09 10:17:02,26.0,65.0,7.34,38.72
2025-06-09 10:17:04,26.0,65.0,7.12,40.43
2025-06-09 10:17:06,26.0,65.0,6.07,38.56
2025-06-09 10:17:08,26.0,65.1,7.45,37.4
2025-06-09 10:17:10,26.0,65.0,7.34,36.7
2025-06-09 10:17:12,26.0,64.8,7.45,37.3
2025-06-09 10:17:14,26.0,64.7,6.05,40.7
2025-06-09 10:17:16,26.0,64.7,4.88,39.8
2025-06-09 10:17:18,26.0,64.9,-1.0,32.7
2025-06-09 10:17:20,26.0,65.1,16.06,40.89
2025-06-09 10:17:22,26.0,65.2,-1.0,34.87
2025-06-09 10:17:24,26.0,65.1,6.82,41.39
2025-06-09 10:17:26,26.0,65.2,9.69,40.29
2025-06-09 10:17:28,26.0,65.4,-1.0,38.04
2025-06-09 10:17:30,26.0,65.4,6.15,38.39
2025-06-09 10:17:32,26.0,65.4,9.67,41.2
2025-06-09 10:17:34,26.0,65.0,-1.0,39.8
2025-06-09 10:17:36,26.0,65.1,16.39,40.16
2025-06-09 10:17:38,26.0,65.3,-1.0,39.43
2025-06-09 10:17:40,26.0,65.4,-1.0,39.58
2025-06-09 10:17:42,26.0,65.4,-1.0,40.29
2025-06-09 10:17:44,26.0,65.3,117.74,39.8
2025-06-09 10:17:46,26.0,65.0,110.23,41.51
2025-06-09 10:17:48,26.0,64.8,-1.0,38.64
2025-06-09 10:17:50,26.0,64.8,9.01,44.75
2025-06-09 10:17:52,26.0,64.7,-1.0,44.45
2025-06-09 10:17:54,26.0,64.5,-1.0,40.5
2025-06-09 10:17:56,26.1,64.5,9.1,42.3
2025-06-09 10:17:58,26.1,64.6,78.47,44.28
2025-06-09 10:18:00,26.1,64.6,5.41,40.83
2025-06-09 10:18:02,26.1,64.7,52.97,42.08
2025-06-09 10:18:04,26.1,64.7,53.16,41.8
2025-06-09 10:18:06,26.1,64.7,25.43,43.75
2025-06-09 10:18:09,26.1,64.5,69.95,40.43
2025-06-09 10:18:11,26.1,64.4,25.14,40.43
2025-06-09 10:18:13,26.1,64.3,69.95,36.91
2025-06-09 10:18:16,26.1,64.4,64.57,38.72
2025-06-09 10:18:18,26.1,64.4,56.17,38.56
2025-06-09 10:18:20,26.1,64.3,55.9,41.33
2025-06-09 10:18:22,26.1,64.2,61.61,40.23
2025-06-09 10:18:24,26.1,64.3,60.25,40.76
2025-06-09 10:18:26,26.1,64.4,35.29,41.26
2025-06-09 10:18:28,26.1,64.3,7.02,42.57
2025-06-09 10:18:30,26.1,64.2,59.09,39.66
2025-06-09 10:18:32,26.1,64.1,7.99,38.22
2025-06-09 10:18:34,26.1,64.3,-1.0,39.43
2025-06-09 10:18:36,26.1,64.7,-1.0,39.8
2025-06-09 10:18:38,26.1,65.0,8.99,38.64
2025-06-09 10:18:40,26.1,65.1,7.45,42.62
2025-06-09 10:18:42,26.1,65.1,5.53,42.57
2025-06-09 10:18:44,26.1,65.1,7.12,41.33
2025-06-09 10:18:46,26.1,64.8,126.62,38.04
2025-06-09 10:18:48,26.1,64.7,122.81,39.8
2025-06-09 10:18:50,26.1,64.7,-1.0,38.89
2025-06-09 10:18:52,26.1,64.6,7.02,41.45
2025-06-09 10:18:54,26.1,64.3,-1.0,40.63
2025-06-09 10:18:56,26.1,64.1,-1.0,39.05
2025-06-09 10:18:58,26.1,64.0,7.12,41.68
2025-06-09 10:19:00,26.1,64.0,5.2,40.5
2025-06-09 10:19:02,26.1,64.1,-1.0,38.39
2025-06-09 10:19:04,26.1,64.0,9.78,41.2
2025-06-09 10:19:06,26.1,63.8,48.86,42.41
2025-06-09 10:19:08,26.1,63.7,28.68,39.05
2025-06-09 10:19:10,26.1,63.6,-1.0,40.5
2025-06-09 10:19:12,26.1,63.6,9.69,40.09
2025-06-09 10:19:14,26.1,63.7,122.66,35.84
2025-06-09 10:19:16,26.1,64.0,125.39,40.02
2025-06-09 10:19:18,26.1,64.2,55.61,42.19
2025-06-09 10:19:20,26.1,64.2,10.12,39.36
2025-06-09 10:19:22,26.1,64.2,4.88,37.3
2025-06-09 10:19:24,26.1,64.3,6.49,42.52
2025-06-09 10:19:26,26.1,64.4,11.82,38.64
2025-06-09 10:19:28,26.1,64.4,-1.0,38.81
2025-06-09 10:19:30,26.1,64.6,9.33,39.87
2025-06-09 10:19:32,26.1,64.4,17.97,38.22
2025-06-09 10:19:34,26.1,64.3,123.35,36.39
2025-06-09 10:19:36,26.1,64.4,-1.0,36.39
2025-06-09 10:19:38,26.1,64.8,-1.0,36.39
2025-06-09 10:19:40,26.1,65.1,8.31,38.56
2025-06-09 10:19:42,26.1,65.5,49.44,40.5
2025-06-09 10:19:44,26.1,65.5,16.39,37.68
2025-06-09 10:19:46,26.1,65.7,17.02,39.13
2025-06-09 10:19:48,26.1,65.7,122.18,36.91
2025-06-09 10:19:50,26.1,65.5,8.3,42.52
2025-06-09 10:19:53,26.1,65.6,10.46,37.77
2025-06-09 10:19:55,26.1,66.4,44.01,39.2
2025-06-09 10:19:57,26.1,66.5,-1.0,41.2
2025-06-09 10:20:00,26.1,66.4,22.95,37.77
2025-06-09 10:20:02,26.2,66.0,48.2,38.22
2025-06-09 10:20:04,26.1,65.7,8.67,40.7
2025-06-09 10:20:06,26.1,65.9,8.09,38.89
2025-06-09 10:20:08,26.1,65.6,8.08,39.36
2025-06-09 10:20:10,26.1,65.3,32.22,39.51
2025-06-09 10:20:12,26.1,65.1,41.8,40.95
2025-06-09 10:20:14,26.2,65.1,44.8,38.56
2025-06-09 10:20:16,26.2,65.1,129.18,35.0
2025-06-09 10:20:18,26.1,65.0,21.98,41.74
2025-06-09 10:20:20,26.1,64.9,24.11,38.39
2025-06-09 10:20:22,26.2,65.0,16.06,37.11
2025-06-09 10:20:24,26.2,64.8,130.87,38.56
2025-06-09 10:20:26,26.2,64.8,19.14,38.13
2025-06-09 10:20:28,26.1,65.1,116.08,38.89
2025-06-09 10:20:30,26.2,65.1,115.79,37.49
2025-06-09 10:20:32,26.2,65.0,115.29,37.86
2025-06-09 10:20:34,26.2,65.0,117.76,40.63
2025-06-09 10:20:36,26.2,65.0,118.78,37.21
2025-06-09 10:20:38,26.2,64.9,19.87,38.48
2025-06-09 10:20:40,26.2,64.7,121.65,35.84
2025-06-09 10:20:42,26.2,64.5,19.24,40.36
2025-06-09 10:20:44,26.2,64.4,49.37,36.6
2025-06-09 10:20:46,26.2,64.3,-1.0,32.54
2025-06-09 10:20:48,26.2,64.2,58.6,37.77
2025-06-09 10:20:50,26.2,64.2,27.56,39.8
