Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 22:33:07,28.1,59.2,-1.0,30.0
2025-06-09 22:33:09,28.2,59.2,7.77,32.02
2025-06-09 22:33:11,28.2,59.2,6.38,30.47
2025-06-09 22:33:13,28.2,59.1,5.83,30.0
2025-06-09 22:33:15,28.1,59.1,16.69,30.68
2025-06-09 22:33:17,28.2,59.1,9.44,31.84
2025-06-09 22:33:19,28.2,59.1,16.69,30.0
2025-06-09 22:33:21,28.2,59.2,17.0,30.0
2025-06-09 22:33:23,28.2,59.1,6.15,30.0
2025-06-09 22:33:25,28.2,59.1,16.37,30.0
2025-06-09 22:33:27,28.2,59.1,14.16,31.84
