Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-08 23:42:10,28.9,58.3,9.1,30.0
2025-06-08 23:42:12,28.9,58.3,9.1,30.0
2025-06-08 23:42:14,28.9,58.1,9.1,30.0
2025-06-08 23:42:16,28.9,58.0,9.1,30.0
2025-06-08 23:42:18,28.9,57.8,9.1,30.0
2025-06-08 23:42:20,28.9,57.7,8.99,30.0
2025-06-08 23:42:22,28.9,57.7,8.99,30.0
2025-06-08 23:42:24,28.9,57.7,8.99,30.0
2025-06-08 23:42:26,28.9,57.7,8.99,30.0
2025-06-08 23:42:28,28.9,57.7,8.99,30.0
2025-06-08 23:42:30,28.9,57.8,8.98,30.0
2025-06-08 23:42:32,28.9,57.8,8.99,30.0
