Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 22:41:44,28.3,59.3,7.12,36.06
2025-06-09 22:41:46,28.3,59.1,8.99,30.0
2025-06-09 22:41:48,28.3,59.1,8.99,30.0
2025-06-09 22:41:50,28.3,59.1,9.1,30.0
2025-06-09 22:41:52,28.3,59.0,7.75,30.0
2025-06-09 22:41:54,28.3,59.0,10.01,30.0
2025-06-09 22:41:56,28.3,59.1,5.78,30.0
2025-06-09 22:41:58,28.3,59.2,42.52,30.0
2025-06-09 22:42:00,28.3,59.3,5.08,30.0
2025-06-09 22:42:02,28.3,59.2,6.15,31.66
2025-06-09 22:42:04,28.3,59.2,8.42,30.0
2025-06-09 22:42:06,28.3,59.2,9.33,30.0
2025-06-09 22:42:08,28.3,59.2,7.45,30.0
2025-06-09 22:42:10,28.3,59.2,6.15,30.0
2025-06-09 22:42:13,28.3,59.0,6.15,30.0
2025-06-09 22:42:15,28.3,58.9,6.15,30.0
2025-06-09 22:42:17,28.3,59.0,8.99,30.0
