Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 01:28:22,28.3,58.1,9.33,41.39
2025-06-09 01:28:24,28.3,58.1,9.33,42.19
2025-06-09 01:28:26,28.3,58.2,9.33,43.23
2025-06-09 01:28:28,28.3,59.3,9.45,41.74
2025-06-09 01:28:30,28.3,59.3,9.44,40.43
2025-06-09 01:28:32,28.3,58.9,9.44,40.43
2025-06-09 01:28:34,28.3,59.5,9.44,40.63
2025-06-09 01:28:36,28.4,59.6,9.44,35.0
2025-06-09 01:28:38,28.3,59.1,9.33,40.29
2025-06-09 01:28:40,28.3,58.7,9.33,41.45
2025-06-09 01:28:42,28.3,58.5,9.32,39.87
2025-06-09 01:28:44,28.3,58.4,9.44,37.86
2025-06-09 01:28:46,28.3,59.1,9.44,37.86
2025-06-09 01:28:48,28.3,59.0,9.44,38.39
2025-06-09 01:28:50,28.3,58.7,9.44,39.43
2025-06-09 01:28:52,28.4,58.4,9.33,38.31
2025-06-09 01:28:54,28.3,58.3,9.32,35.12
2025-06-09 01:28:56,28.4,58.2,9.44,41.51
2025-06-09 01:28:58,28.4,58.2,9.44,39.73
2025-06-09 01:29:00,28.3,58.4,9.44,40.5
2025-06-09 01:29:02,28.4,58.6,9.33,41.74
2025-06-09 01:29:04,28.4,58.5,9.33,40.29
2025-06-09 01:29:06,28.4,58.3,9.44,40.89
