Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-08 23:11:20,28.3,59.3,55.76,36.6
2025-06-08 23:11:22,28.3,59.3,56.59,38.04
2025-06-08 23:11:24,28.3,59.2,55.85,40.83
2025-06-08 23:11:26,28.3,59.2,17.32,39.05
2025-06-08 23:11:28,28.3,59.1,57.51,38.97
2025-06-08 23:11:31,28.3,59.2,55.44,38.97
2025-06-08 23:11:34,28.3,59.1,55.44,38.81
2025-06-08 23:11:36,28.3,59.1,56.68,40.36
2025-06-08 23:11:38,28.3,59.2,56.27,39.95
2025-06-08 23:11:40,28.3,59.1,56.25,39.05
2025-06-08 23:11:42,28.3,59.2,56.58,37.68
2025-06-08 23:11:44,28.3,59.3,56.17,39.58
2025-06-08 23:11:46,28.3,59.3,55.57,38.39
2025-06-08 23:11:48,28.3,59.3,56.81,38.48
2025-06-08 23:11:50,28.3,59.3,76.91,38.56
2025-06-08 23:11:52,28.3,59.3,77.21,37.21
2025-06-08 23:11:54,28.3,59.2,57.09,37.3
2025-06-08 23:11:56,28.3,59.3,56.27,41.08
2025-06-08 23:11:58,28.3,59.3,56.68,38.89
2025-06-08 23:12:00,28.3,59.2,55.85,38.97
2025-06-08 23:12:02,28.3,59.2,56.25,38.22
2025-06-08 23:12:04,28.3,59.1,56.17,37.21
2025-06-08 23:12:06,28.3,59.2,55.73,37.95
2025-06-08 23:12:08,28.3,59.2,55.32,37.59
2025-06-08 23:12:10,28.3,59.2,55.73,38.81
2025-06-08 23:12:12,28.3,59.3,55.85,37.86
2025-06-08 23:12:14,28.3,60.2,55.44,37.4
2025-06-08 23:12:16,28.3,61.3,55.4,39.51
2025-06-08 23:12:18,28.3,61.0,55.85,40.83
2025-06-08 23:12:20,28.3,60.4,55.85,38.22
2025-06-08 23:12:22,28.3,60.7,55.44,40.29
2025-06-08 23:12:24,28.3,61.4,55.42,38.56
2025-06-08 23:12:26,28.3,60.8,55.4,37.59
2025-06-08 23:12:28,28.3,60.3,77.25,37.3
2025-06-08 23:12:30,28.3,59.9,77.35,36.6
2025-06-08 23:12:32,28.2,59.7,56.27,37.3
2025-06-08 23:12:34,28.3,59.5,56.7,38.81
2025-06-08 23:12:36,28.3,59.4,77.23,37.21
2025-06-08 23:12:38,28.3,59.4,57.0,36.39
2025-06-08 23:12:40,28.3,59.5,76.79,38.48
2025-06-08 23:12:42,28.3,59.5,56.68,39.05
2025-06-08 23:12:44,28.3,59.5,56.27,41.2
2025-06-08 23:12:46,28.3,59.4,77.32,36.17
2025-06-08 23:12:48,28.3,59.5,57.0,38.72
2025-06-08 23:12:50,28.3,59.5,76.81,38.97
2025-06-08 23:12:52,28.3,59.7,59.33,36.91
2025-06-08 23:12:54,28.3,59.7,57.24,39.8
2025-06-08 23:12:56,28.3,59.7,57.97,35.72
2025-06-08 23:12:58,28.3,59.5,57.1,38.39
2025-06-08 23:13:00,28.3,59.4,206.26,37.59
