Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 10:09:07,25.6,64.8,-1.0,38.56
2025-06-09 10:09:09,25.6,64.8,25.72,39.66
2025-06-09 10:09:11,25.6,64.7,27.57,41.2
2025-06-09 10:09:13,25.6,64.7,28.12,40.16
2025-06-09 10:09:15,25.6,64.7,28.61,39.28
2025-06-09 10:09:17,25.6,64.7,27.17,42.19
2025-06-09 10:09:19,25.6,64.7,25.84,41.86
2025-06-09 10:09:21,25.6,64.7,26.89,42.67
2025-06-09 10:09:23,25.6,64.7,27.74,36.6
2025-06-09 10:09:25,25.6,64.7,29.12,36.39
2025-06-09 10:09:27,25.6,64.7,22.08,36.81
2025-06-09 10:09:29,25.6,64.7,21.78,35.0
2025-06-09 10:09:31,25.6,64.7,16.69,36.6
2025-06-09 10:09:33,25.6,64.6,45.22,38.13
2025-06-09 10:09:35,25.5,64.5,44.81,38.48
2025-06-09 10:09:37,25.6,64.4,45.22,37.3
2025-06-09 10:09:40,25.6,64.4,45.32,38.04
2025-06-09 10:09:42,25.5,64.5,45.61,37.68
2025-06-09 10:09:44,25.5,64.5,45.22,38.22
2025-06-09 10:09:46,25.6,64.6,45.73,39.43
2025-06-09 10:09:48,25.6,64.8,45.63,36.7
2025-06-09 10:09:50,25.6,65.0,45.61,37.21
2025-06-09 10:09:52,25.5,64.9,45.61,39.28
2025-06-09 10:09:54,25.5,64.9,45.2,36.5
2025-06-09 10:09:56,25.5,64.8,45.63,39.05
2025-06-09 10:09:58,25.5,64.7,45.61,36.81
2025-06-09 10:10:00,25.5,64.7,44.81,38.39
2025-06-09 10:10:02,25.5,64.6,44.42,39.58
2025-06-09 10:10:04,25.5,64.6,44.42,39.2
2025-06-09 10:10:06,25.5,64.6,44.44,41.45
2025-06-09 10:10:08,25.5,64.6,44.42,40.83
2025-06-09 10:10:10,25.5,64.6,44.42,37.4
2025-06-09 10:10:12,25.5,64.6,44.42,39.73
2025-06-09 10:10:14,25.5,64.6,44.42,36.91
2025-06-09 10:10:16,25.5,64.6,44.83,39.36
2025-06-09 10:10:18,25.5,64.6,44.81,36.5
2025-06-09 10:10:20,25.5,64.7,44.42,38.64
2025-06-09 10:10:22,25.5,64.7,44.42,37.4
2025-06-09 10:10:24,25.5,64.7,44.83,37.21
2025-06-09 10:10:26,25.5,64.7,44.44,38.81
2025-06-09 10:10:28,25.5,64.7,44.42,40.02
2025-06-09 10:10:30,25.5,64.7,44.42,41.08
2025-06-09 10:10:32,25.5,64.8,44.42,39.05
2025-06-09 10:10:34,25.5,64.8,44.44,36.17
2025-06-09 10:10:36,25.5,64.9,-1.0,40.76
2025-06-09 10:10:38,25.5,64.9,30.24,38.56
2025-06-09 10:10:40,25.5,65.1,-1.0,37.11
2025-06-09 10:10:42,25.5,65.2,-1.0,36.28
2025-06-09 10:10:44,25.5,65.4,35.31,36.6
2025-06-09 10:10:46,25.5,65.5,30.16,38.31
2025-06-09 10:10:48,25.5,65.5,29.38,39.73
2025-06-09 10:10:50,25.5,65.5,28.41,39.73
