Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 08:09:35,24.3,65.1,63.09,40.7
2025-06-09 08:09:37,24.3,65.1,62.54,39.8
2025-06-09 08:09:39,24.3,65.1,62.53,37.11
2025-06-09 08:09:41,24.3,65.2,63.09,39.13
2025-06-09 08:09:43,24.2,65.2,62.65,37.59
2025-06-09 08:09:45,24.2,65.3,63.21,37.59
2025-06-09 08:09:47,24.2,65.3,63.09,38.64
2025-06-09 08:09:49,24.2,65.4,40.94,39.28
2025-06-09 08:09:51,24.2,65.5,41.94,58.28
2025-06-09 08:09:53,24.2,65.6,58.34,43.23
2025-06-09 08:09:55,24.2,65.8,60.57,43.47
2025-06-09 08:09:57,24.2,66.2,59.02,45.11
2025-06-09 08:09:59,24.2,66.1,59.02,41.02
2025-06-09 08:10:01,24.2,66.0,58.94,39.66
2025-06-09 08:10:03,24.2,65.9,59.43,39.43
2025-06-09 08:10:05,24.2,65.7,59.02,40.7
2025-06-09 08:10:07,24.2,65.7,58.91,36.39
2025-06-09 08:10:09,24.1,65.6,59.01,38.89
2025-06-09 08:10:11,24.1,65.7,58.91,40.43
2025-06-09 08:10:13,24.1,66.1,58.99,36.7
2025-06-09 08:10:15,24.1,66.1,59.43,39.66
2025-06-09 08:10:17,24.1,66.3,59.16,39.58
2025-06-09 08:10:19,24.1,66.2,60.3,39.36
2025-06-09 08:10:21,24.0,66.2,59.76,40.89
2025-06-09 08:10:23,24.0,66.1,59.16,40.02
2025-06-09 08:10:25,24.0,66.1,59.16,38.48
2025-06-09 08:10:27,24.0,66.2,59.14,41.02
2025-06-09 08:10:29,24.0,66.3,59.06,39.13
2025-06-09 08:10:31,24.0,66.4,59.16,39.28
2025-06-09 08:10:33,24.0,66.4,59.06,40.95
2025-06-09 08:10:36,24.0,66.2,59.57,39.36
