Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 22:39:31,28.2,59.5,15.42,30.0
2025-06-09 22:39:33,28.2,59.5,4.78,30.0
2025-06-09 22:39:35,28.2,59.4,4.88,30.0
2025-06-09 22:39:37,28.2,59.4,6.48,30.0
2025-06-09 22:39:39,28.2,59.3,7.77,30.0
2025-06-09 22:39:41,28.2,59.2,9.78,32.87
2025-06-09 22:39:43,28.2,59.1,10.35,30.0
2025-06-09 22:39:45,28.2,59.0,9.33,30.0
2025-06-09 22:39:47,28.2,59.2,8.76,30.0
2025-06-09 22:39:49,28.2,59.4,8.99,30.0
2025-06-09 22:39:51,28.2,59.4,3.59,30.0
