Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-09 01:38:49,28.3,58.0,24.84,42.67
2025-06-09 01:38:51,28.3,58.0,93.23,40.02
2025-06-09 01:38:53,28.3,58.0,93.28,39.8
2025-06-09 01:38:55,28.3,58.0,24.94,39.73
2025-06-09 01:38:57,28.3,58.0,92.67,40.5
2025-06-09 01:38:59,28.3,58.0,93.13,37.95
2025-06-09 01:39:01,28.3,58.0,92.6,38.72
2025-06-09 01:39:03,28.3,58.0,92.68,39.95
2025-06-09 01:39:05,28.3,58.0,93.02,39.87
2025-06-09 01:39:07,28.3,58.0,24.96,40.5
2025-06-09 01:39:09,28.3,58.0,24.94,43.23
2025-06-09 01:39:11,28.3,58.0,92.68,40.7
2025-06-09 01:39:13,28.3,58.1,24.94,38.31
2025-06-09 01:39:15,28.3,58.1,24.94,39.8
2025-06-09 01:39:17,28.3,58.3,24.84,39.73
2025-06-09 01:39:19,28.3,58.3,93.23,37.68
2025-06-09 01:39:21,28.3,58.2,24.94,39.73
2025-06-09 01:39:23,28.3,58.2,93.57,37.01
2025-06-09 01:39:26,28.3,58.2,93.47,37.11
2025-06-09 01:39:28,28.3,58.2,24.96,38.72
2025-06-09 01:39:30,28.3,58.1,24.94,38.04
2025-06-09 01:39:32,28.3,58.0,24.85,38.56
2025-06-09 01:39:34,28.3,58.0,24.94,35.12
2025-06-09 01:39:36,28.3,58.5,24.94,36.28
2025-06-09 01:39:38,28.3,58.6,93.19,39.43
2025-06-09 01:39:40,28.3,58.5,24.84,40.29
2025-06-09 01:39:42,28.3,58.4,93.65,39.66
2025-06-09 01:39:44,28.3,58.2,24.94,40.89
2025-06-09 01:39:46,28.3,58.2,24.84,40.56
2025-06-09 01:39:48,28.3,58.2,24.09,37.86
2025-06-09 01:39:50,28.3,58.2,24.09,41.51
2025-06-09 01:39:52,28.3,58.3,23.97,40.09
2025-06-09 01:39:54,28.3,58.4,24.94,39.28
2025-06-09 01:39:56,28.3,58.4,24.94,40.23
2025-06-09 01:39:58,28.3,58.4,24.84,39.87
2025-06-09 01:40:00,28.3,58.3,24.84,39.13
2025-06-09 01:40:02,28.3,58.5,24.84,38.81
2025-06-09 01:40:04,28.3,58.9,24.94,36.81
2025-06-09 01:40:06,28.3,59.5,24.96,39.28
2025-06-09 01:40:08,28.3,60.0,24.84,39.13
2025-06-09 01:40:10,28.3,60.3,24.85,40.09
2025-06-09 01:40:12,28.3,60.2,24.94,40.23
2025-06-09 01:40:14,28.3,60.7,93.13,39.58
2025-06-09 01:40:16,28.3,61.5,24.09,38.13
2025-06-09 01:40:18,28.3,61.4,24.84,37.59
2025-06-09 01:40:20,28.3,60.7,24.85,37.01
2025-06-09 01:40:22,28.3,60.9,24.84,38.89
2025-06-09 01:40:24,28.3,60.9,24.94,39.43
2025-06-09 01:40:26,28.3,60.7,93.14,37.49
2025-06-09 01:40:28,28.3,60.5,24.94,40.83
2025-06-09 01:40:30,28.3,60.3,63.09,39.8
2025-06-09 01:40:32,28.3,60.0,24.94,39.36
2025-06-09 01:40:34,28.3,59.6,23.99,40.7
2025-06-09 01:40:36,28.3,59.2,24.94,37.3
2025-06-09 01:40:38,28.3,58.9,24.94,39.66
2025-06-09 01:40:40,28.3,58.7,93.59,38.97
2025-06-09 01:40:43,28.3,58.6,24.84,40.43
2025-06-09 01:40:45,28.3,58.5,24.09,39.58
2025-06-09 01:40:47,28.3,58.4,24.96,39.8
2025-06-09 01:40:49,28.3,58.3,24.85,39.73
2025-06-09 01:40:51,28.3,58.3,24.85,38.72
2025-06-09 01:40:53,28.3,58.2,24.96,39.43
2025-06-09 01:40:56,28.3,58.2,93.23,36.06
2025-06-09 01:40:58,28.3,58.2,24.85,38.81
2025-06-09 01:41:00,28.3,58.2,24.94,38.48
2025-06-09 01:41:02,28.3,58.2,24.94,40.29
2025-06-09 01:41:04,28.3,58.2,24.84,40.43
2025-06-09 01:41:06,28.3,58.2,24.96,40.16
2025-06-09 01:41:08,28.3,58.2,24.94,39.51
2025-06-09 01:41:10,28.3,58.2,24.94,36.28
2025-06-09 01:41:12,28.3,58.1,24.84,39.8
2025-06-09 01:41:14,28.3,58.1,24.94,38.48
2025-06-09 01:41:16,28.3,58.0,62.7,35.84
2025-06-09 01:41:18,28.3,58.0,24.84,38.13
2025-06-09 01:41:20,28.3,58.0,24.84,36.17
2025-06-09 01:41:22,28.3,58.0,24.96,38.13
2025-06-09 01:41:24,28.3,58.0,24.84,38.39
2025-06-09 01:41:26,28.3,58.0,24.85,38.39
2025-06-09 01:41:28,28.3,58.9,24.96,37.68
2025-06-09 01:41:30,28.3,59.0,24.96,38.56
2025-06-09 01:41:32,28.3,59.0,93.09,36.6
2025-06-09 01:41:34,28.3,59.2,24.84,40.23
2025-06-09 01:41:36,28.3,59.7,24.96,40.63
2025-06-09 01:41:38,28.3,59.2,24.96,39.95
2025-06-09 01:41:40,28.3,58.7,24.85,39.58
2025-06-09 01:41:42,28.3,58.5,24.84,38.81
2025-06-09 01:41:44,28.3,58.4,24.94,35.0
2025-06-09 01:41:46,28.3,58.3,93.28,39.51
2025-06-09 01:41:48,28.3,58.3,24.85,35.6
2025-06-09 01:41:50,28.3,58.2,24.89,34.61
2025-06-09 01:41:52,28.3,58.2,24.96,37.68
2025-06-09 01:41:54,28.3,58.2,24.94,35.49
2025-06-09 01:41:56,28.3,58.1,24.85,35.72
2025-06-09 01:41:58,28.3,58.2,24.94,39.87
2025-06-09 01:42:00,28.3,58.2,93.4,37.4
2025-06-09 01:42:02,28.3,58.1,93.13,37.59
